country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Denmark,63.89,58.09,58.09,39.57,45.28,,66,72,55.07,51.48,DNK
Kazakhstan,,,,,,1.732,10.26,11.14,11.63,9.599,KAZ
Poland,,,,,21.21,17.91,,,17.69,20.12,POL
Eritrea,,,,,,,14.93,5.326,,,ERI
Kyrgyzstan,,,,,,2.983,3.175,2.798,,,KGZ
Sri Lanka,,,,,1.996,,3.82,6.216,,,LKA
Latvia,,,,,,,,57.29,62.68,52.13,LVA
South Sudan,,,,,,,,,29.33,,SSD
Guyana,,,,,1.027,,1.829,,4.242,,GUY
Côte d'Ivoire,,,,22,,13.15,38.27,41.05,,27.54,CIV
Honduras,,,,,,,,19.6,,,HND
Myanmar,,,,0.9809,,,10,,,,MMR
Equatorial Guinea,,,,81,,,79.31,,,,GNQ
Egypt,,,,,,6.334,7.76,,13.28,13.87,EGY
Nicaragua,,,,,,,13.04,,18.51,,NIC
Singapore,,45,,,,,,,,,SGP
Democratic People's Republic of Korea,,,,,,,,10.43,,,PRK
Botswana,,,,,31.86,36.33,40.72,,43.08,52.12,BWA
Timor-Leste,,,,,,,,8.447,,,TLS
Congo,,,,62,,,69.57,,,,COG
Greece,,13.68,,11.94,,9.907,,8.787,15.36,17.71,GRC
Paraguay,,,,15,,,20.41,,15,,PRY
Namibia,,,,,28.51,26.01,25.35,,,,NAM
Comoros,,,,,,,48,,,,COM
