country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Kazakhstan,,,,,,33.67,22.27,22.81,21.39,24.45,KAZ
Poland,10.11,13.53,15.13,16.41,13.39,12.8,11.73,12.03,11.48,10.08,POL
Eritrea,,,,,,,0.4134,0.582,,,ERI
Kyrgyzstan,,,,,,10.09,10.08,8.007,,,KGZ
Sri Lanka,,,,,9.769,,13.01,12.95,,,LKA
Latvia,,,,,,0.418,0.2563,0.2182,0.2602,0.1811,LVA
South Sudan,,,,,,,,,0.658,,SSD
Guyana,,,,,1.46,,1.64,,1.445,,GUY
Côte d'Ivoire,,,,0.709,1.1,1.232,1.409,1.549,,1.162,CIV
Honduras,,,,,,,,1.607,,,HND
Myanmar,,,,28.26,,,33.23,,,,MMR
Equatorial Guinea,,,,0.01,,,0.0174,,,,GNQ
Egypt,,48.2,,,,58.87,68.3,,72.3,77.5,EGY
Nicaragua,,,,,,,1.388,,1.545,,NIC
Singapore,,0.19,,,,,,,,0.6594,SGP
Democratic People's Republic of Korea,,,,,,,,8.658,,,PRK
Botswana,,,,0.09,0.113,0.1434,0.194,,0.1943,0.193,BWA
Timor-Leste,,,,,,,,1.172,,,TLS
Congo,,,,0.04,,,0.046,,,,COG
Greece,4.254,4.276,5.04,5.496,8.038,8.695,9.259,9.63,9.935,11.24,GRC
Paraguay,,,,0.43,,,0.49,,2.413,,PRY
Namibia,,,,0.14,0.249,0.273,0.288,,,,NAM
Comoros,,,,,,,0.01,,,,COM
