country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Kazakhstan,,,,,,32.07,22.26,22.81,21.39,22.45,KAZ
Poland,10.11,13.53,15.13,16.41,13.38,12.79,11.72,12.02,11.47,10.08,POL
Eritrea,,,,,,,0.4134,0.582,,,ERI
Kyrgyzstan,,,,,,9.79,10.08,7.707,,,KGZ
Sri Lanka,,,,,9.769,,13.01,12.95,,,LKA
Latvia,,,,,,0.4062,0.2445,0.2066,0.2482,0.1811,LVA
South Sudan,,,,,,,,,0.658,,SSD
Guyana,,,,,1.46,,1.64,,1.445,,GUY
Côte d'Ivoire,,,,0.709,1.1,1.232,1.409,1.549,,1.162,CIV
Honduras,,,,,,,,1.607,,,HND
Myanmar,,,,28.26,,,33.23,,,,MMR
Equatorial Guinea,,,,0.01,,,0.0174,,,,GNQ
Egypt,,48.2,,,,58.64,57.03,,68.1,64.4,EGY
Nicaragua,,,,,,,1.387,,1.545,,NIC
Singapore,,0.19,,,,,,,,0.4993,SGP
Democratic People's Republic of Korea,,,,,,,,8.658,,,PRK
Botswana,,,,0.09,0.113,0.1434,0.194,,0.1943,0.193,BWA
Timor-Leste,,,,,,,,1.172,,,TLS
Congo,,,,0.04,,,0.046,,,,COG
Greece,4.254,4.276,5.03,5.486,8.028,8.685,9.226,9.593,9.935,11.24,GRC
Paraguay,,,,0.43,,,0.49,,2.413,,PRY
Namibia,,,,0.14,0.2487,0.2669,0.2819,,,,NAM
Comoros,,,,,,,0.01,,,,COM
