country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Equatorial Guinea,,,,6,,,5.747,,,,GNQ
Egypt,,,,,,86.14,86.38,,85.06,79.16,EGY
Nicaragua,,,,,,,85.01,,76.7,,NIC
Singapore,,4,,,,,,,,,SGP
Democratic People's Republic of Korea,,,,,,,,76.35,,,PRK
Botswana,,,,,47.79,44.49,41.24,,38.24,35.75,BWA
Timor-Leste,,,,,,,,91.38,,,TLS
Congo,,,,11,,,8.696,,,,COG
Greece,57.01,83.63,,83.7,98.28,87.41,90.94,87.83,83.37,80.44,GRC
Paraguay,,,,78,,,71.43,,78.62,,PRY
Namibia,,,,82.14,68.27,70.15,69.79,,,,NAM
Comoros,,,,,,,47,,,,COM
