country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Haiti,14.03,14.03,14.03,14.03,14.03,14.03,14.03,14.03,14.03,14.03,HTI
Belize,21.73,21.73,21.73,21.73,21.73,21.73,21.73,21.73,21.73,21.73,BLZ
Sierra Leone,160,160,160,160,160,160,160,160,160,160,SLE
Georgia,,,,,63.33,63.33,63.33,63.33,63.33,63.33,GEO
Lao People's Democratic Republic,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,LAO
Gambia,8,8,8,8,8,8,8,8,8,8,GMB
Philippines,479,479,479,479,479,479,479,479,479,479,PHL
Morocco,29,29,29,29,29,29,29,29,29,29,MAR
Croatia,,,,,105.5,105.5,105.5,105.5,105.5,105.5,HRV
Guinea-Bissau,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,GNB
Thailand,438.6,438.6,438.6,438.6,438.6,438.6,438.6,438.6,438.6,438.6,THA
Switzerland,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,CHE
Grenada,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,GRD
Venezuela (Bolivarian Republic of),1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,VEN
Iraq,89.86,89.86,89.86,89.86,89.86,89.86,89.86,89.86,89.86,89.86,IRQ
Portugal,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,PRT
Estonia,,,,,12.81,12.81,12.81,12.81,12.81,12.81,EST
Uruguay,172.2,172.2,172.2,172.2,172.2,172.2,172.2,172.2,172.2,172.2,URY
Mexico,461.9,461.9,461.9,461.9,461.9,461.9,461.9,461.9,461.9,461.9,MEX
Lebanon,4.503,4.503,4.503,4.503,4.503,4.503,4.503,4.503,4.503,4.503,LBN
Uzbekistan,,,,,48.87,48.87,48.87,48.87,48.87,48.87,UZB
Tunisia,4.615,4.615,4.615,4.615,4.615,4.615,4.615,4.615,4.615,4.615,TUN
Djibouti,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,DJI
Antigua and Barbuda,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,ATG
Spain,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,ESP
Colombia,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,COL
Burundi,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,BDI
Eswatini,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,SWZ
Fiji,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,FJI
Barbados,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,BRB
Madagascar,337,337,337,337,337,337,337,337,337,337,MDG
Italy,191.3,191.3,191.3,191.3,191.3,191.3,191.3,191.3,191.3,191.3,ITA
Bhutan,95,95,95,95,95,81,81,78,78,78,BTN
Sudan,,,,,,,,,37.8,37.8,SDN
Serbia,,,,,,,,162.2,162.2,162.2,SRB
Nepal,210.2,210.2,210.2,210.2,210.2,210.2,210.2,210.2,210.2,210.2,NPL
Malta,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,MLT
Democratic Republic of the Congo,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,COD
Netherlands,91,91,91,91,91,91,91,91,91,91,NLD
Suriname,99,99,99,99,99,99,99,99,99,99,SUR
United Kingdom,147,147,147,147,147,147,147,147,147,147,GBR
Israel,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,ISR
Iceland,170,170,170,170,170,170,170,170,170,170,ISL
Zambia,104.8,104.8,104.8,104.8,104.8,104.8,104.8,104.8,104.8,104.8,ZMB
Senegal,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,SEN
Papua New Guinea,801,801,801,801,801,801,801,801,801,801,PNG
Trinidad and Tobago,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,TTO
Zimbabwe,20,20,20,20,20,20,20,20,20,20,ZWE
Germany,154,154,154,154,154,154,154,154,154,154,DEU
Denmark,6,6,6,6,6,6,6,6,6,6,DNK
Kazakhstan,,,,,108.4,108.4,108.4,108.4,108.4,108.4,KAZ
Poland,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,POL
Eritrea,,,,,,7.315,7.315,7.315,7.315,7.315,ERI
Kyrgyzstan,,,,,23.62,23.62,23.62,23.62,23.62,23.62,KGZ
Sri Lanka,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,LKA
Latvia,,,,,34.94,34.94,34.94,34.94,34.94,34.94,LVA
South Sudan,,,,,,,,,49.5,49.5,SSD
Guyana,271,271,271,271,271,271,271,271,271,271,GUY
Côte d'Ivoire,84.14,84.14,84.14,84.14,84.14,84.14,84.14,84.14,84.14,84.14,CIV
Honduras,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,HND
Myanmar,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,MMR
Equatorial Guinea,26,26,26,26,26,26,26,26,26,26,GNQ
Egypt,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,EGY
Nicaragua,164.5,164.5,164.5,164.5,164.5,164.5,164.5,164.5,164.5,164.5,NIC
Singapore,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,SGP
Democratic People's Republic of Korea,77.15,77.15,77.15,77.15,77.15,77.15,77.15,77.15,77.15,77.15,PRK
Botswana,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,BWA
Timor-Leste,8.215,8.215,8.215,8.215,8.215,8.215,8.215,8.215,8.215,8.215,TLS
Congo,832,832,832,832,832,832,832,832,832,832,COG
Greece,68.4,68.4,68.4,68.4,68.4,68.4,68.4,68.4,68.4,68.4,GRC
Paraguay,387.8,387.8,387.8,387.8,387.8,387.8,387.8,387.8,387.8,387.8,PRY
Namibia,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,39.91,NAM
Comoros,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,COM
