country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Burundi,2839,2633,2322,2017,1777,1646,1492,1267,1079,926,BDI
Eswatini,5591,4799,4130,3443,2914,2629,2442,2320,2115,1931,SWZ
Fiji,52598,47719,42727,39559,38348,36007,35001,34200,32681,31530,FJI
Barbados,331.4,321.5,315.2,310.6,305.1,299.7,294.7,289.6,284.1,280,BRB
Madagascar,48510,42136,36496,31649,27396,23488,20101,17341,15080,13179,MDG
Italy,3360,3268,3218,3197,3191,3191,3157,3077,3055,3074,ITA
Bhutan,298742,254487,220418,189848,178739,153177,133575,113537,103586,96582,BTN
Sudan,,,,,,,,,111.1,98.69,SDN
Serbia,,,,,,,,920.3,938.6,956.3,SRB
Nepal,15857,14232,12699,11338,10023,8852,8068,7561,7168,6763,NPL
Malta,157.7,154.9,148.8,142.1,136.3,130.4,125.8,123.1,120,117.2,MLT
Democratic Republic of the Congo,42614,37116,32471,28544,24099,20534,18059,15406,13047,11065,COD
Netherlands,827.6,791.8,769.5,749.2,725.3,702.7,682.8,666.4,655.2,645.7,NLD
Suriname,266631,274238,271978,258014,234153,217105,204969,194232,184323,175719,SUR
United Kingdom,2591,2577,2576,2557,2522,2485,2443,2361,2257,2191,GBR
Israel,247.2,213.4,193.1,177.9,156,133.2,120.2,108.3,97.42,90.12,ISR
Iceland,809909,764732,728676,687981,653344,623396,595864,557012,522273,507463,ISL
Zambia,17942,15081,12718,10858,9489,8296,7212,6302,5456,4692,ZMB
Senegal,5702,4971,4358,3742,3213,2805,2481,2173,1883,1628,SEN
Papua New Guinea,301128,263487,229185,200350,176587,155383,136643,120851,107792,97079,PNG
Trinidad and Tobago,3964,3692,3426,3213,3104,3045,3005,2934,2861,2805,TTO
Zimbabwe,2215,1886,1588,1319,1148,1047,980.7,919.7,833.4,741.7,ZWE
Germany,1356,1360,1373,1371,1337,1313,1311,1315,1320,1303,DEU
Denmark,1202,1177,1171,146.2,1160,1137,1117,1097,1069,1046,DNK
Kazakhstan,,,,,3904,4130,4260,4062,3803,3535,KAZ
Poland,1617,1551,1480,1428,1403,1391,1393,1398,1399,1404,POL
Eritrea,,,,,,885.8,774.6,674.2,613.9,552.4,ERI
Kyrgyzstan,,,,,10986,10397,9804,9428,8747,8094,KGZ
Sri Lanka,4061,3699,3406,3172,2976,2858,2770,2665,2585,2529,LKA
Latvia,,,,,6466,6906,7264,7704,8199,8687,LVA
South Sudan,,,,,,,,,2403,2067,SSD
Guyana,333841,316107,308500,318152,322149,316897,320521,322236,320011,309808,GUY
Côte d'Ivoire,13394,10600,8496,6973,5838,4975,4424,4026,3587,3163,CIV
Honduras,31457,27038,23181,19960,17275,15037,13210,11762,10658,9785,HND
Myanmar,36236,32205,28724,25935,24046,22604,21277,20398,19672,18793,MMR
Equatorial Guinea,88859,105391,89470,66632,57130,47741,39016,31352,25024,20505,GNQ
Egypt,27.27,24.37,21.56,18.84,16.66,15.12,13.78,12.57,11.39,10.25,EGY
Nicaragua,61255,52522,45460,40227,36066,32630,30201,28287,26578,25121,NIC
Singapore,278.9,259.2,238.3,212.8,188.1,164.4,145.2,126.8,113.8,105.1,SGP
Democratic People's Republic of Korea,4406,3989,3720,3448,3200,3000,2871,2768,2696,2628,PRK
Botswana,3231,2691,2230,1899,1648,1465,1348,1254,1149,1047,BWA
Timor-Leste,12866,12915,13592,11744,10200,9421,8893,7714,7100,6339,TLS
Congo,152998,131595,113788,98711,86147,74949,65160,55835,47917,42197,COG
Greece,6613,6267,5916,5761,5550,5291,5171,5096,5098,5197,GRC
Paraguay,45052,39864,34749,30116,26393,23494,21238,19611,18341,17178,PRY
Namibia,7427,6490,5833,4944,4069,3502,3140,2962,2721,2431,NAM
Comoros,5017,4349,3671,3186,2750,2390,2107,1870,1658,1474,COM
