country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Netherlands,,,,,0.184,0.23,0.0526,0.0719,0.0602,0.0765,NLD
Suriname,,,,0.41,,,0.62,0.4311,,,SUR
United Kingdom,,,,,0.6681,1.723,1.308,1.33,1.049,1.183,GBR
Israel,1.249,1.242,1.235,,1.216,,1.021,1.129,1.1,1.249,ISR
Iceland,,,0.004,0.004,0.07,,0.07,0.07,0.0003,0.0003,ISL
Zambia,,,,,1.339,1.318,1.152,,,,ZMB
Senegal,,,,1.251,,,2.065,,,,SEN
Papua New Guinea,,,,,,,0.001,0.001,,,PNG
Trinidad and Tobago,,,,,,0.0156,0.017,0.015,0.0167,,TTO
Zimbabwe,,,,0.964,,,3.318,2.93,,2.77,ZWE
Germany,,,,,1.6,1.6,1.14,0.1317,0.2109,0.2997,DEU
Denmark,0.18,0.46,0.46,0.7,0.465,0.369,0.1652,0.1175,0.1863,0.3267,DNK
Kazakhstan,,,,,,27.41,15.17,14.46,12.49,15.12,KAZ
Poland,1.681,1.662,1.323,1.606,1.37,1.083,1.108,1.122,1.102,1.018,POL
Eritrea,,,,,,,0.29,0.55,,,ERI
Kyrgyzstan,,,,,,9.496,9.45,7.447,7.1,,KGZ
Sri Lanka,,,,,9.379,,12,11.31,,,LKA
Latvia,,,,,,0.036,0.0532,0.0506,0.0408,0.0615,LVA
South Sudan,,,,,,,,,0.24,,SSD
Guyana,,,,,1.438,,1.6,,1.363,,GUY
Côte d'Ivoire,,,,0.475,,0.8,0.6,0.5953,0.5953,0.6,CIV
Honduras,,,,,,,,1.178,,,HND
Myanmar,,,,27.86,,,29.57,,,,MMR
Equatorial Guinea,,,,0.0006,,,0.001,,,,GNQ
Egypt,,,,,,50.71,59,,61.5,61.35,EGY
Nicaragua,,,,,,,1.18,,1.185,,NIC
Singapore,,0.0076,,,,,,,,,SGP
Democratic People's Republic of Korea,,,,,,6.61,,6.61,,,PRK
Botswana,,,,,0.054,0.0638,0.08,,0.0743,0.069,BWA
Timor-Leste,,,,,,,,1.071,,,TLS
Congo,,,,0.0044,,,0.004,,,,COG
Greece,2.425,3.576,,4.6,7.9,7.6,8.42,8.458,8.283,9.041,GRC
Paraguay,,,,0.3354,,,0.35,,1.897,,PRY
Namibia,,,,0.115,0.17,0.1915,0.201,,,,NAM
Comoros,,,,,,,0.0047,,,,COM
