country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Sri Lanka,,,,,0.195,,0.497,0.805,,,LKA
Latvia,,,,,,,,0.125,0.1631,0.0944,LVA
South Sudan,,,,,,,,,0.193,,SSD
Guyana,,,,,0.015,,0.03,0.0613,0.0613,,GUY
Côte d'Ivoire,,,,0.156,,0.162,0.5392,0.6359,,0.32,CIV
Honduras,,,,,0.061,,,0.315,,,HND
Myanmar,,,,0.2772,,,3.323,,,,MMR
Equatorial Guinea,,,,0.0081,,,0.0138,0.0158,,,GNQ
Egypt,,,,,,3.729,5.3,,9.6,10.75,EGY
Nicaragua,,,,,,,0.181,,0.286,,NIC
Singapore,,0.0855,,,,,0.8771,1.078,,,SGP
Democratic People's Republic of Korea,,,,1.56,,,0.8576,0.9028,,,PRK
Botswana,,,,,0.036,0.0521,0.079,0.0878,0.0837,0.1006,BWA
Timor-Leste,,,,,,,0.0107,0.099,,,TLS
Congo,,,,0.0248,,,0.032,0.0637,,,COG
Greece,,0.585,,0.656,,0.8614,,0.8462,1.526,1.991,GRC
Paraguay,,,,0.0645,,,0.1,,0.362,,PRY
Namibia,,,,,0.071,0.071,0.073,,,,NAM
Comoros,,,,,,,0.0048,,,,COM
