country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Philippines,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,PHL
Morocco,44655,44655,44655,44655,44655,44655,44655,44655,44655,44655,MAR
Croatia,,,,,5654,5661,5654,5659,5659,5659,HRV
Guinea-Bissau,3613,3613,3613,3613,3613,3613,3613,3613,3613,3613,GNB
Thailand,51312,51312,51312,51312,51312,51312,51312,51312,51312,51312,THA
Switzerland,4129,4129,4129,4129,4129,4129,4129,4129,4129,4129,CHE
Grenada,34,34,34,34,34,34,34,34,34,34,GRD
Venezuela (Bolivarian Republic of),91205,91205,91205,91205,91205,91205,91205,91205,91205,91205,VEN
Iraq,43832,43832,43832,43832,43832,43832,43832,43832,43524,43505,IRQ
Portugal,9212,9212,9212,9212,9212,9212,9212,9209,9221,9223,PRT
Estonia,,,,,4523,4523,4523,4523,4523,4534,EST
Uruguay,17622,17622,17622,17622,17622,17622,17622,17622,17622,17622,URY
Mexico,196438,196438,196438,196438,196438,196438,196438,196438,196438,196438,MEX
Lebanon,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,LBN
Uzbekistan,,,,,44740,44740,44740,44740,44740,44740,UZB
Tunisia,16361,16361,16361,16361,16361,16361,16361,16361,16361,16361,TUN
Djibouti,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,DJI
Antigua and Barbuda,44,44,44,44,44,44,44,44,44,44,ATG
Spain,50599,50599,50599,50599,50599,50599,50532,50537,50594,50594,ESP
Colombia,114175,114175,114175,114175,114175,114175,114175,114175,114175,114175,COL
Burundi,2783,2783,2783,2783,2783,2783,2783,2783,2783,2783,BDI
Eswatini,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,SWZ
Fiji,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,FJI
Barbados,43,43,43,43,43,43,43,43,43,43,BRB
Madagascar,58704,58704,58704,58704,58704,58704,58704,58704,58730,58730,MDG
Italy,30134,30134,30134,30134,30134,30134,30134,30134,30134,30134,ITA
Bhutan,4700,4700,4700,4700,4700,4008,4008,3839,3839,3839,BTN
Sudan,,,,,,,,,187936,187936,SDN
Serbia,,,,,,,,8836,8836,8836,SRB
Nepal,14718,14718,14718,14718,14718,14718,14718,14718,14718,14718,NPL
Malta,32,32,32,32,32,32,32,32,32,32,MLT
Democratic Republic of the Congo,234486,234486,234486,234486,234486,234486,234486,234486,234486,234486,COD
Netherlands,4153,4153,4153,4153,4153,4153,4153,4154,4154,4154,NLD
Suriname,16382,16382,16382,16382,16382,16382,16382,16382,16382,16382,SUR
Micronesia (Federated States of),70,70,70,70,70,70,70,70,70,70,FSM
United Kingdom,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,GBR
Israel,2207,2207,2207,2207,2207,2207,2207,2207,2207,2207,ISR
Iceland,10300,10300,10300,10300,10300,10300,10300,10300,10300,10300,ISL
Zambia,75261,75261,75261,75261,75261,75261,75261,75261,75261,75261,ZMB
Senegal,19671,19671,19671,19671,19671,19671,19671,19671,19671,19671,SEN
Papua New Guinea,46284,46284,46284,46284,46284,46284,46284,46284,46284,46284,PNG
Trinidad and Tobago,513,513,513,513,513,513,513,513,513,513,TTO
Zimbabwe,39076,39076,39076,39076,39076,39076,39076,39076,39076,39076,ZWE
Germany,35697,35697,35697,35697,35697,35703,35704,35710,35717,35758,DEU
Denmark,4309,4309,4309,4309,4309,4309,4309,4309,4292,4292,DNK
Kazakhstan,,,,,272490,272490,272490,272490,272490,272490,KAZ
